ISP,Country,ASN
ComcelGuatemala,GT,AS23243 COMCEL GUATEMALA S.A.
Supersonic,ZA,AS16637 MTN SA
Level7,ZA,AS327901 Level 7 Wireless (Pty) Ltd
ECHO-SP,ZA,AS327693 Echotel Pty Ltd
OPTINET,ZA,AS10474 Dimension Data
HeroTel,ZA,AS328471 HERO TELECOMS (PTY) LTD
Bethnet,ZA,AS327892 BETHNET cc
Home-Connect,ZA,AS37315 Cipherwave
Level-7InternetPTYLTD,AR,AS265798 LEVEL SEVEN SRL
MTNBusinessSolutions,ZA,AS16637 MTN SA
ChinaTelecom,CN,AS4134 CHINANET-BACKBONE
LiquidIntelligentTechnologies,ZW,AS30969 Zimbabwe Online (Private) Ltd.
airmobile.co.za,ZA,AS37611 Afrihost (Pty) Ltd
CellC,IL,AS1680 Cellcom Fixed Line Communication L.P.
Vodacom,TZ,AS36908 Vodacom Tanzania Ltd
The-Computer-Hut,,
TooMuchWifi,ZA,AS328480 Too Much Wifi
Jenny-internet,ZA,AS327750 JENNY INTERNET (PTY) LTD
SmartSwitch,ZA,AS37611 Afrihost (Pty) Ltd
SouthAfricaUniversityNetwork,ZA,AS2018 TENET (The UNINET Project)
Web-Africa-Networks,,
Aerocom,PK,AS139351 AERO COMMUNICATIONS BROADBAND PVT. LTD
MetrofibreNetworx,ZA,AS327782 Metrofibre Networx
TelkomInternet,ZA,AS37457 Telkom SA Ltd.
MWEB,ZA,AS10474 Dimension Data
rain,ZA,AS37105 Neology (Pty) Ltd
VodacomBusiness,ZA,AS36994 Vodacom
AxxessNetworks,ZA,AS37611 Afrihost (Pty) Ltd
VoxTelecom,ZA,AS11845 Vox Telecom Ltd
SouthAfricanDigitalVillages(Pty)Ltd,ZA,AS37049 South African Digital Villages (Pty) Ltd
AFRIHOSTOTHER,ZA,AS37611 Afrihost (Pty) Ltd
Cybersmart,ZA,AS36874 Cybersmart
RSAWEB,ZA,AS37053 RSAWEB (PTY) LTD
Netlife,EC,AS27947 Telconet S.A
MaxxNet,EC,AS266880 BENALCAZAR ROMERO LEONARDO ISRAEL (MAXXNET)
TenedaCorporaciónCIA.LTDA,,
ATVCABLESERVICODETELECOMUNICACIONES,EC,AS271936 SERVICIOS DE TELECOMUNICACIONES ATVCABLE CIA. LTDA.
PerezTitoJulioCesar(fastnett),EC,AS269806 PEREZ TITO JULIO CESAR(FASTNETT)
SolucionesAvanzadasInformaticasYTelecomunicaci,EC,AS263805 SOLUCIONES AVANZADAS INFORMATICAS Y TELECOMUNICACIONES SAITEL
